local,oaci,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,fir,uso,trafico,sna,concesionado,provincia,inhab
FLO,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS FLORES,"36° 3'59""S  59° 6' 2""W",-36.06638888888889,-59.10055555555556,34.0,Metros,Las Flores,5.0,S,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
FMA,SACA,SIN_CODIGO,aeródromo,CÓRDOBA/CAPITÁN D. OMAR DARIO GELARDI,"31°26'31""S  64°15'30""W",-31.441944444444445,-64.25833333333334,486.0,Metros,Córdoba,7.0,SO,PUBLICO,AERADIO,RANO,SACF,mil,Nacional,NO,NO,Córdoba,NO
FOR,SIN_CODIGO,SIN_CODIGO,aeródromo,FORMOSA/AEROCLUB,"26°18' 5""S  58°17'54""W",-26.30138888888889,-58.29833333333333,70.0,Metros,Formosa,15.0,SO,PUBLICO,AERADIO,RANE,SARR,civil,Nacional,NO,NO,Formosa,NO
FRA,SIN_CODIGO,SIN_CODIGO,aeródromo,SAN FRANCISCO,"31°24'47""S  62° 7'59""W",-31.413055555555555,-62.13305555555556,114.0,Metros,San Francisco,5.0,ONO,PUBLICO,NOCONTROL,RANO,SACF,desconocido,Nacional,NO,NO,Córdoba,NO
FRO,SIN_CODIGO,SIN_CODIGO,aeródromo,ROSARIO DE LA FRONTERA,"25°49'34""S  64°57'48""W",-25.82611111111111,-64.96333333333334,837.0,Metros,Rosario de la Frontera,3.6,S,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Salta,NO
FRS,SIN_CODIGO,SIN_CODIGO,aeródromo,FRÍAS,"28°37'43""S  65° 6'48""W",-28.628611111111113,-65.11333333333333,330.0,Metros,Frías,2.0,NE,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Santiago Del Estero,NO
FSA,SARF,FMA,aeródromo,FORMOSA,"26°12'46""S  58°13'41""W",-26.212777777777777,-58.22805555555556,59.0,Metros,Formosa,7.0,S,PUBLICO,CONTROL,RANE,SARR,civil,Internacional,SI,SI,Formosa,NO
FUN,SIN_CODIGO,SIN_CODIGO,aeródromo,DEAN FUNES,"30°22'46""S  64°22'47""W",-30.379444444444445,-64.37972222222221,689.0,Metros,Dean Funes,4.5,NNO,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
FVA,SIN_CODIGO,SIN_CODIGO,aeródromo,FLORENCIO VARELA/EL PÁJARO,"34°49'36""S  58°19' 0""W",-34.82666666666667,-58.31666666666667,16.0,Metros,Florencio Varela,3.5,SO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
GAA,SIN_CODIGO,SIN_CODIGO,aeródromo,GUALEGUAY/AGROAEREO GUALEGUAY,"33° 2'18""S  59°26'24""W",-33.038333333333334,-59.44,16.0,Metros,Gualeguay,17.0,NO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
GAI,SIN_CODIGO,SIN_CODIGO,aeródromo,GANCEDO/AGROAIRE,"27°29'41""S  61°39'32""W",-27.494722222222222,-61.65888888888889,115.0,Metros,Gancedo,1.0,SE,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Chaco,NO
GAL,SAWG,RGL,aeródromo,RÍO GALLEGOS/PILOTO CIVIL NORBERTO FERNANDEZ,"51°36'32""S  69°18'44""W",-51.60888888888889,-69.31222222222222,19.0,Metros,Río Gallegos,4.5,OSO,PUBLICO,CONTROL,RASU,SAVF,desconocido,Internacional,SI,SI,Santa Cruz,NO
GAR,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL ALVEAR,"35°58'44""S  59°54'25""W",-35.97888888888889,-59.90694444444444,50.0,Metros,General Alvear,11.5,NE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
GAS,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL VILLEGAS,"34°59'46""S  62°59'56""W",-34.99611111111111,-62.99888888888889,117.0,Metros,General Villegas,4.5,NNE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
GBE,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL BELGRANO,"35°45' 7""S  58°27'48""W",-35.75194444444445,-58.46333333333334,12.0,Metros,General Belgrano,3.0,E,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
GBL,SIN_CODIGO,SIN_CODIGO,aeródromo,SALTA/GENERAL BELGRANO,"24°44'45""S  65°25' 8""W",-24.745833333333334,-65.41888888888889,1261.0,Metros,Salta,3.0,N,PUBLICO,NOCONTROL,RANO,SACF,desconocido,Nacional,NO,NO,Salta,NO
GCR,SIN_CODIGO,SIN_CODIGO,aeródromo,GOBERNADOR CRESPO/AEROCLUB,"30°23'14""S  60°22' 9""W",-30.38722222222222,-60.369166666666665,52.0,Metros,Gobernador Crespo,4.5,SE,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Santa Fé,NO
GDH,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL DEHEZA,"32°44'42""S  63°47'46""W",-32.745,-63.79611111111111,274.0,Metros,General Deheza,0.3,NE,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
GDO,SIN_CODIGO,SIN_CODIGO,aeródromo,GANCEDO/PULVERIZACIONES.M.H.,"27°28'42""S  61°38'40""W",-27.47833333333333,-61.644444444444446,97.0,Metros,Gancedo,3.0,E,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Chaco,NO
GEP,SIN_CODIGO,SIN_CODIGO,aeródromo,GUALEGUAYCHÚ/EL POTRERO,"32°58'29""S  58°15'14""W",-32.974722222222226,-58.25388888888889,27.0,Metros,Gualeguaychú,25.0,ONO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
GES,SAZV,VLG,aeródromo,VILLA GESELL,"37°14' 4""S  57° 1'26""W",-37.23444444444444,-57.02388888888889,10.0,Metros,Villa Gesell,3.0,O,PUBLICO,AERADIO,RACE,SAEF,desconocido,Nacional,SI,NO,Buenos Aires,NO
GEZ,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL RODRIGUEZ/EAA,"34°40'49""S  59° 2' 9""W",-34.680277777777775,-59.03583333333333,28.0,Metros,General Rodriguez,10.0,SE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
GIL,SIN_CODIGO,SIN_CODIGO,aeródromo,SAN ANDRÉS DE GILES,"34°28'13""S  59°25'29""W",-34.47027777777778,-59.42472222222222,51.0,Metros,San Andrés de Giles,3.0,SE,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
GIT,SIN_CODIGO,SIN_CODIGO,aeródromo,GOYA/ITALAVIATION,"29° 9'31""S  59°10'46""W",-29.15861111111111,-59.17944444444444,64.0,Metros,Goya,7.0,E,PRIVADO,NOCONTROL,RANE,SARR,aeroapp,Nacional,NO,NO,Corrientes,NO
GLH,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL LAS HERAS,"34°55'14""S  58°54'59""W",-34.92055555555555,-58.91638888888889,35.0,Metros,General Las Heras,3.0,E,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
GLM,SIN_CODIGO,SIN_CODIGO,aeródromo,GUALEGUAYCHÚ/BLM CABAÑAS,"32°58'39""S  58°31'20""W",-32.9775,-58.52222222222222,7.17,Metros,Gualeguaychú,2.2,OSO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
GLP,SIN_CODIGO,SIN_CODIGO,aeródromo,GUALEGUAYCHÚ/EA. LA PROVIDENCIA,"32°56'29""S  58°33'53""W",-32.94138888888889,-58.56472222222222,20.0,Metros,Gualeguaychú,8.0,N,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
GNA,SAMA,SIN_CODIGO,aeródromo,GENERAL ALVEAR,"35° 3'34""S  67°41'35""W",-35.059444444444445,-67.69305555555556,454.0,Metros,General Alvear,7.5,S,PUBLICO,NOCONTROL,RANO,SAMF,civil,Nacional,NO,NO,Mendoza,NO
GNR,SAHR,GNR,aeródromo,GENERAL ROCA/DR. ARTURO HUMBERTO ILLIA,"39° 0' 0""S  67°37'11""W",-39.0,-67.61972222222222,260.0,Metros,General Roca,4.8,NO,PUBLICO,AERADIO,RACE,SAEF,civil,Nacional,SI,NO,Río Negro,NO
GNV,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL VIAMONTE/LOS TOLDOS,"34°58'38""S  61° 1'15""W",-34.977222222222224,-61.020833333333336,72.0,Metros,General Viamonte,3.1,NE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
GOC,SIN_CODIGO,SIN_CODIGO,aeródromo,GOBERNADOR CASTRO/EL GIRASOL,"33°40' 7""S  59°50' 3""W",-33.66861111111111,-59.83416666666667,28.0,Metros,Gobernador Castro,4.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
GOM,SIN_CODIGO,SIN_CODIGO,aeródromo,CAÑADA DE GÓMEZ,"32°48'32""S  61°21'57""W",-32.80888888888889,-61.365833333333335,82.0,Metros,Cañada de Gómez,1.5,E,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Santa Fé,NO
GOR,SACT,SIN_CODIGO,aeródromo,GOBERNADOR GORDILLO/CHAMICAL,"30°20'39""S  66°17'39""W",-30.344166666666666,-66.29416666666667,458.0,Metros,El Chamical,2.0,E,PUBLICO,AERADIO,RANO,SACF,civil,Nacional,NO,NO,La Rioja,NO
GOY,SATG,OYA,aeródromo,GOYA,"29° 6'21""S  59°13' 7""W",-29.105833333333333,-59.218611111111116,39.0,Metros,Goya,6.0,NE,PUBLICO,CONTROL,RANE,SARR,civil,Nacional,NO,NO,Corrientes,NO
GOZ,SIN_CODIGO,SIN_CODIGO,aeródromo,GÓMEZ,"35° 5'44""S  58° 5' 9""W",-35.095555555555556,-58.08583333333333,19.0,Metros,Gómez,8.0,SE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
GPF,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL PICO/CEREALES ANAHÍ RUCA,"35°40'25""S  63°43' 5""W",-35.67361111111111,-63.71805555555556,139.0,Metros,General Pico,3.0,E,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,La Pampa,NO
GPI,SAZG,GPO,aeródromo,GENERAL PICO,"35°41'41""S  63°45'32""W",-35.69472222222222,-63.75888888888889,140.0,Metros,General Pico,3.5,SO,PUBLICO,AERADIO,RACE,SAEF,civil,Nacional,SI,SI,La Pampa,NO
GPK,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL PINEDO/KALBERMATTER,"27°15'37""S  61°28'28""W",-27.260277777777777,-61.474444444444444,101.0,Metros,General Pinedo,20.0,NO,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Chaco,NO
GPO,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL PINEDO,"27°20'38""S  61°16'29""W",-27.343888888888888,-61.27472222222222,91.0,Metros,General Pinedo,2.0,E,PUBLICO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Chaco,NO
GRA,SAWE,RGA,aeródromo,RÍO GRANDE,"53°46'39""S  67°44'58""W",-53.777499999999996,-67.74944444444445,20.0,Metros,Río Grande,9.0,NO,PUBLICO,CONTROL,RASU,SAVF,desconocido,Internacional,SI,SI,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
GRE,SAWR,GGS,aeródromo,GOBERNADOR GREGORES,"48°46'60""S  70° 9'44""W",-48.78333333333333,-70.16222222222223,356.0,Metros,Gobernador Gregores,5.0,E,PUBLICO,AERADIO,RASU,SAVF,civil,Nacional,NO,NO,Santa Cruz,NO
GRZ,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL RODRIGUEZ,"34°34'58""S  59° 0' 2""W",-34.58277777777778,-59.00055555555556,28.0,Metros,General Rodriguez,10.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,ulm,Nacional,NO,NO,Buenos Aires,NO
GSE,SIN_CODIGO,SIN_CODIGO,aeródromo,GUAVIRAVÍ/EA. SANTA ELISA,"29°18'16""S  56°52'52""W",-29.304444444444446,-56.88111111111111,63.0,Metros,Guaviraví,8.7,NO,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Corrientes,NO
GTE,SIN_CODIGO,SIN_CODIGO,aeródromo,GUATRACHE,"37°42'19""S  63°33'25""W",-37.70527777777778,-63.55694444444444,175.0,Metros,Guatrache,3.0,SSO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,La Pampa,NO
GUA,SAAG,GHU,aeródromo,GUALEGUAYCHÚ,"33° 0'20""S  58°36'46""W",-33.00555555555555,-58.61277777777778,23.0,Metros,Gualeguaychú,8.0,O,PUBLICO,CONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
GVA,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL ALVEAR/AEROCLUB,"34°58'11""S  67°43'27""W",-34.969722222222224,-67.72416666666666,466.0,Metros,General Alvear,4.0,O,PRIVADO,NOCONTROL,RANO,SAMF,civil,Nacional,NO,NO,Mendoza,NO
GVZ,SIN_CODIGO,SIN_CODIGO,aeródromo,GONZALEZ CHAVES,"38° 1'59""S  60° 8' 2""W",-38.033055555555556,-60.13388888888889,194.0,Metros,Adolfo Gonzalez Cháves,2.5,O,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
GYA,SIN_CODIGO,SIN_CODIGO,aeródromo,GOYA/AEROCLUB,"29°10'11""S  59°14'49""W",-29.169722222222223,-59.246944444444445,38.0,Metros,Goya,1.5,SE,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Corrientes,NO
GYT,SIN_CODIGO,SIN_CODIGO,aeródromo,GOBERNADOR GARMENDIA/AGRO SERVICIO YORIS,"26°34'45""S  64°31'43""W",-26.579166666666666,-64.5286111111111,318.0,Metros,Gobernador Garmendia,3.0,E,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Tucumán,NO
HAB,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA AM1,"52°31' 9""S  68°23' 9""W",-52.51916666666666,-68.38583333333334,30.0,Metros,Estrecho de Magallanes,0.0,Lindando,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HAC,SIN_CODIGO,SIN_CODIGO,helipuerto,ALPA CORRAL/JUAN Y LUCI,"32°41'24""S  64°42'60""W",-32.69,-64.71666666666667,733.0,Metros,Alpa Corral,0.0,SO,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HAD,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA AM2,"52°32'56""S  68°18'45""W",-52.54888888888889,-68.3125,44.0,Metros,Estrecho de Magallanes,0.0,Lindando,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HAG,SIN_CODIGO,SIN_CODIGO,helipuerto,LUJAN/SOL DE AGOSTO,"34°31'60""S  58°58'15""W",-34.53333333333333,-58.97083333333334,10.0,Metros,Luján,5.0,E,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HAI,SIN_CODIGO,SIN_CODIGO,helipuerto,VILLA CARLOS PAZ/NORBERTO CORDEIRO,"31°24'51""S  64°29'49""W",-31.414166666666667,-64.49694444444445,621.0,Metros,Margen E Río San Antonio y Río Uruguay,0.0,Lindando,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HAM,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA AM3,"52°31'22""S  68°16'51""W",-52.522777777777776,-68.28083333333333,41.0,Metros,Estrecho de Magallanes,0.0,Lindando,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HAS,SIN_CODIGO,SIN_CODIGO,helipuerto,PARANÁ/AMARRAS DEL SOL,"31°42'31""S  60°30' 3""W",-31.70861111111111,-60.50083333333333,16.0,Metros,Paraná,4.0,NE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
HAT,SIN_CODIGO,SIN_CODIGO,helipuerto,ALMAFUERTE/TRANSENER S.A.,"32°12'13""S  64°18'53""W",-32.203611111111115,-64.31472222222222,500.0,Metros,Almafuerte,6.3,O,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HAU,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/AUTÓDROMO CIUDAD DE BS. AS.,"34°41'38""S  58°27'38""W",-34.693888888888885,-58.46055555555556,16.0,Metros,,0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HBA,SIN_CODIGO,SIN_CODIGO,helipuerto,SAN CARLOS DE BARILOCHE/ARELAUQUEN,"41° 9'40""S  71°21'56""W",-41.16111111111111,-71.36555555555555,945.0,Metros,San Carlos de Bariloche,8.0,SO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Río Negro,NO
HBC,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/B. CHURRUCA,"34°38'27""S  58°24'34""W",-34.64083333333333,-58.409444444444446,6.0,Metros,Ciudad de Buenos Aires,0.0,O,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HBI,SIN_CODIGO,SIN_CODIGO,helipuerto,CÓRDOBA/HELIPUERTO CENTRO CÍVICO BICENTENARIO,"31°25'13""S  64°10'24""W",-31.42027777777778,-64.17333333333333,392.0,Metros,Aeropuerto,12.0,SSE,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HBM,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/MADERO,"34°37'18""S  58°20'42""W",-34.62166666666667,-58.345,5.0,Metros,Ciudad de Buenos Aires,0.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HBO,SIN_CODIGO,SIN_CODIGO,helipuerto,EL BRACHO/TRANSENER S.A.,"26°59'37""S  65° 9'49""W",-26.99361111111111,-65.16361111111112,378.0,Metros,El Bracho,0.0,Lindando,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Tucumán,NO
HBP,SIN_CODIGO,SIN_CODIGO,helipuerto,BAHÍA BLANCA/PBB POLISUR S.A.,"38°46'24""S  62°17'38""W",-38.77333333333333,-62.29388888888889,5.0,Metros,Bahía Blanca,6.5,SSO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HBR,SIN_CODIGO,SIN_CODIGO,helipuerto,CÓRDOBA/BERRINI,"31°26'23""S  64°20'37""W",-31.439722222222223,-64.3436111111111,552.0,Metros,Córdoba,14.0,SO,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HBT,SIN_CODIGO,SIN_CODIGO,helipuerto,LA PLATA,"34°54' 2""S  57°55'46""W",-34.900555555555556,-57.92944444444444,6.0,Metros,La Plata,3.0,NE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HCA,SIN_CODIGO,SIN_CODIGO,helipuerto,COSTA AZUL/LA CALDERA,"36°40' 1""S  56°40'43""W",-36.66694444444444,-56.67861111111111,10.0,Metros,"Duhau, Av. Belgrano y Av. Costanera",0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HCC,SIN_CODIGO,SIN_CODIGO,helipuerto,CHOEL  CHOEL/TRANSENER S.A.,"39°33'60""S  65°41'20""W",-39.56666666666666,-65.6888888888889,130.0,Metros,Lamarque,16.0,S,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Río Negro,NO
HCD,SIN_CODIGO,SIN_CODIGO,helipuerto,SAN MARTÍN DE LOS ANDES/EA. LA CANDELARIA,"40° 2'39""S  71°21'60""W",-40.04416666666666,-71.36666666666666,914.0,Metros,San Martín de los Andes,13.0,N,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Neuquén,NO
HCE,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA/RÍO CULLEN-HIDRACENTRO TOTAL AUSTRAL,"52°50'11""S  68°10'44""W",-52.83638888888889,-68.17888888888889,39.0,Metros,,0.0,Lindando,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HCG,SIN_CODIGO,SIN_CODIGO,helipuerto,EZEIZA/TRANSENER S.A.,"34°54'44""S  58°43'11""W",-34.91222222222222,-58.719722222222224,20.0,Metros,Cañuelas,15.0,N,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HCI,SIN_CODIGO,SIN_CODIGO,helipuerto,BELÉN DE ESCOBAR/CABAÑA SAN ISIDRO LABRADOR I,"34°22'43""S  58°47'19""W",-34.37861111111111,-58.78861111111111,12.0,Metros,Belén de Escobar,3.0,SSE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HCL,SIN_CODIGO,SIN_CODIGO,helipuerto,CATAN LIL/EA. SANTA ISABEL,"39°53' 5""S  70°30'50""W",-39.88472222222222,-70.51388888888889,950.0,Metros,Departamento de Collón Curá,0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Neuquén,NO
HCN,SIN_CODIGO,SIN_CODIGO,helipuerto,EMBALSE/CENTRAL NUCLEAR,"32°13'46""S  64°26'24""W",-32.22944444444445,-64.44,530.0,Metros,Embalse,0.0,SE,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HCO,SIN_CODIGO,SIN_CODIGO,helipuerto,CHENAUT/EL CAPRICHO,"34°13'58""S  59°18'57""W",-34.23277777777778,-59.31583333333333,30.0,Metros,Estación Chenaut,6.0,O,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HCP,SIN_CODIGO,SIN_CODIGO,helipuerto,YACIMIENTO CAÑADON ALFA/TOTAL AUSTRAL S.A.,"52°44'19""S  68°34'21""W",-52.73861111111111,-68.57249999999999,87.0,Metros,,0.0,Lindando,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HCR,SIN_CODIGO,SIN_CODIGO,helipuerto,BARREALES - GRAN MENDOZA/TRANSENER S.A.,"33° 5'57""S  68°34'46""W",-33.09916666666667,-68.57944444444443,674.0,Metros,Barreales,0.0,O,PRIVADO,NOCONTROL,RANO,SAMF,civil,Nacional,NO,NO,Mendoza,NO
HCS,SIN_CODIGO,SIN_CODIGO,helipuerto,CAPILLA DEL SEÑOR/LAS ARAUCARIAS,"34°18'25""S  59°10'13""W",-34.30694444444444,-59.17027777777778,25.0,Metros,Capilla del Señor,6.5,O,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HCT,SIN_CODIGO,SIN_CODIGO,helipuerto,CAMPANA/TRANSENER S.A.,"34°10'28""S  58°59'58""W",-34.17444444444444,-58.99944444444444,10.0,Metros,Campana,3.0,O,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HCU,SIN_CODIGO,SIN_CODIGO,helipuerto,CÓRDOBA/CIUDAD UNIVERSITARIA,"31°26'27""S  64°11'25""W",-31.440833333333334,-64.19027777777778,440.0,Metros,"Medina Allende, Av. Ciudad de Valparaiso y vías FCGBM",0.0,Lindando,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HCV,SIN_CODIGO,SIN_CODIGO,helipuerto,CABO VÍRGENES/BRM CABO VÍRGENES,"52°19'49""S  68°24'30""W",-52.33027777777778,-68.40833333333335,55.0,Metros,Río Gallegos,120.0,SE,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Santa Cruz,NO
HDA,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/DARSENA SUR,"34°37'40""S  58°21' 6""W",-34.62777777777778,-58.35166666666667,5.0,Metros,Isla Demarchi,0.0,O,PUBLICO,NOCONTROL,RACE,SAEF,mil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HDI,SIN_CODIGO,SIN_CODIGO,helipuerto,BUENOS AIRES/DINES DR. E. ESCUDERO,"34°34'21""S  58°24' 2""W",-34.572500000000005,-58.400555555555556,6.0,Metros,Salguero y Costanera,0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Ciudad Autónoma De Buenos Aires,NO
HDL,SIN_CODIGO,SIN_CODIGO,helipuerto,JUNÍN DE LOS ANDES/CASA DE LATA,"39°48'56""S  71°10'12""W",-39.815555555555555,-71.17,982.0,Metros,Junín de los Andes,12.0,N,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Neuquén,NO
HDR,SIN_CODIGO,SIN_CODIGO,helipuerto,GRANADERO BAIGORRIA/HOSPITAL R. CARRILLO,"32°51' 7""S  60°42'33""W",-32.85194444444445,-60.70916666666667,37.0,Metros,Granadero Baigorria,1.0,SE,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Santa Fé,NO
HDS,SIN_CODIGO,SIN_CODIGO,aeródromo,HENDERSON,"36°18'55""S  61°44'52""W",-36.31527777777777,-61.74777777777778,150.0,Metros,Henderson,2.5,OSO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HDT,SIN_CODIGO,SIN_CODIGO,helipuerto,DON TORCUATO/TIMEN S.A.,"34°29'46""S  58°36'29""W",-34.49611111111111,-58.60805555555556,6.0,Metros,Ex Aeródromo Don Torcuato,0.0,Lindando,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HEA,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPLATAFORMA AM6,"52°36'30""S  68° 7'40""W",-52.608333333333334,-68.12777777777777,32.0,Metros,Cabo Vírgenes,34.0,SE,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
