local,oaci,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,fir,uso,trafico,sna,concesionado,provincia,inhab
CNO,SIN_CODIGO,SIN_CODIGO,aeródromo,CARMEN DE ARECO,"34°25' 5""S  59°52'28""W",-34.418055555555554,-59.87444444444444,49.0,Metros,Carmen de Areco,5.0,SO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
CNS,SIN_CODIGO,SIN_CODIGO,aeródromo,CANALS,"33°33'45""S  62°52' 9""W",-33.5625,-62.869166666666665,116.0,Metros,Canals,0.5,E,PRIVADO,NOCONTROL,RANO,SAEF,civil,Nacional,NO,NO,Córdoba,NO
COA,SIN_CODIGO,SIN_CODIGO,aeródromo,ARIAS,"33°39'52""S  62°22'30""W",-33.66444444444444,-62.375,121.5,Metros,Arias,3.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Córdoba,NO
COL,SAZQ,SIN_CODIGO,aeródromo,RÍO COLORADO,"38°59'42""S  64° 8'25""W",-38.995,-64.14027777777778,84.0,Metros,Río Colorado,5.0,NO,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Río Negro,NO
CON,SIN_CODIGO,SIN_CODIGO,aeródromo,COLÓN,"33°55'21""S  61° 2'47""W",-33.9225,-61.046388888888885,90.0,Metros,Colón,5.0,SE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
CPO,SADO,SIN_CODIGO,aeródromo,CAMPO DE MAYO,"34°32' 4""S  58°40'19""W",-34.53444444444444,-58.67194444444444,24.0,Metros,Estación San Miguel,3.5,ENE,PRIVADO,NOCONTROL,RACE,SAEF,mil,Nacional,NO,NO,Buenos Aires,NO
CQN,SIN_CODIGO,SIN_CODIGO,aeródromo,COSQUIN/SANTA MARÍA,"31°17' 9""S  64°27'20""W",-31.285833333333336,-64.45555555555556,700.0,Metros,Cosquín,4.5,SSE,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
CQZ,SIN_CODIGO,SIN_CODIGO,aeródromo,CAÑADA QUIROZ,"27°32'59""S  58°43' 3""W",-27.549722222222226,-58.7175,55.0,Metros,Corrientes,15.0,SE,PRIVADO,NOCONTROL,RANO,SARR,civil,Nacional,NO,NO,Corrientes,NO
CRD,SIN_CODIGO,SIN_CODIGO,aeródromo,CONCORDIA/AEROCLUB,"31°18'14""S  58° 0'54""W",-31.30388888888889,-58.015,90.0,Metros,Concordia,10.0,N,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
CRR,SARC,CNQ,aeródromo,CORRIENTES,"27°26'44""S  58°45'43""W",-27.445555555555554,-58.761944444444445,61.5,Metros,Corrientes,7.5,E,PUBLICO,CONTROL,RANE,SARR,civil,Internacional,SI,NO,Corrientes,NO
